;FECHA;TEXT;Datestamp;TIME;WeekDay;Demora;Sinterrumpido;Snormal;SdemFG;Slimitado;Linea A;StandTime
385;2018-05-16;#LíneaA - Reanuda su servicio y realiza el recorrido completo entre cabeceras. 12:02;2018-05-16 15:02:48;1900-01-01 15:02:48;Wednesday;False;False;False;False;False;True;15:00:00
386;2018-05-16;#LíneaA - Servicio interrumpido por medida de fuerza gremial. 05:12;2018-05-16 08:12:42;1900-01-01 08:12:42;Wednesday;False;True;False;True;False;True;08:00:00
387;2018-05-14;#LíneaA - Ya circula con su frecuencia normal. 14:45;2018-05-14 17:45:25;1900-01-01 17:45:25;Monday;False;False;True;False;False;True;17:30:00
388;2018-05-14;#LíneaA - Circula con demora. 14:34;2018-05-14 17:34:24;1900-01-01 17:34:24;Monday;True;False;False;False;False;True;17:30:00
389;2018-05-14;#LíneaA - Ya circula con su frecuencia normal. 09:52;2018-05-14 12:52:20;1900-01-01 12:52:20;Monday;False;False;True;False;False;True;12:30:00
390;2018-05-14;#LíneaA - Circula con demora. 09:08;2018-05-14 12:08:18;1900-01-01 12:08:18;Monday;True;False;False;False;False;True;12:00:00
391;2018-05-11;#LíneaA - Los trenes ya se detienen en todas las estaciones. 07:56;2018-05-11 10:56:49;1900-01-01 10:56:49;Friday;False;False;False;False;False;True;10:30:00
392;2018-05-11;#LíneaA - Los trenes no se detienen en Plaza Miserere. 07:04;2018-05-11 10:04:48;1900-01-01 10:04:48;Friday;False;False;False;False;False;True;10:00:00
393;2018-05-11;#LíneaA - Servicio limitado entre las estaciones San Pedrito y Río de Janeiro. 04:58;2018-05-11 07:58:45;1900-01-01 07:58:45;Friday;False;False;False;False;True;True;07:30:00
394;2018-05-07;#LíneaA - Servicio interrumpido por medida de fuerza gremial. 20:34;2018-05-07 23:34:43;1900-01-01 23:34:43;Monday;False;True;False;True;False;True;23:30:00
395;2018-05-07;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 14:51;2018-05-07 17:52:41;1900-01-01 17:52:41;Monday;False;False;False;False;False;True;17:30:00
396;2018-05-07;#LíneaA - Servicio Limitado entre las estaciones Flores y Plaza de Mayo. 14:04;2018-05-07 17:05:39;1900-01-01 17:05:39;Monday;False;False;False;False;False;True;17:00:00
397;2018-05-07;#LíneaA - Servicio interrumpido. 13:57;2018-05-07 16:58:37;1900-01-01 16:58:37;Monday;False;True;False;False;False;True;16:30:00
398;2018-05-05;#LíneaA - Servicio limitado entre las estaciones Perú y San Pedrito. 13:57;2018-05-05 16:58:19;1900-01-01 16:58:19;Saturday;False;False;False;False;True;True;16:30:00
399;2018-05-05;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 10:00;2018-05-05 13:01:17;1900-01-01 13:01:17;Saturday;False;False;False;False;False;True;13:00:00
400;2018-05-05;#LíneaA - Servicio limitado entre las estaciones Carabobo y Plaza de Mayo. 09:49;2018-05-05 12:50:16;1900-01-01 12:50:16;Saturday;False;False;False;False;True;True;12:30:00
401;2018-05-03;@soclula Hola, no se registran demoras enn la #LíneaA en este momento. Saludos;2018-05-03 11:35:18;1900-01-01 11:35:18;Thursday;True;False;False;False;False;True;11:30:00
402;2018-05-01;#LíneaA - Los trenes no se detienen en Flores. 09:05;2018-05-01 12:06:32;1900-01-01 12:06:32;Tuesday;False;False;False;False;False;True;12:00:00
403;2018-04-30;#LíneaA - Servicio limitado entre las estaciones San Pedrito y Río de Janeiro. 06:45;2018-04-30 09:46:18;1900-01-01 09:46:18;Monday;False;False;False;False;True;True;09:30:00
404;2018-04-30;#LíneaA - Circula con servicio limitado entre las estaciones Loria - Plaza de Mayo y Río de Janeiro - San Pedrito. 06:08;2018-04-30 09:09:16;1900-01-01 09:09:16;Monday;False;False;False;False;True;True;09:00:00
405;2018-04-24;@soclula Hola, la #LíneaA no registra eventualidades esta mañana. Podrías indicarnos por DM el sentido en el qie estas viajando? Saludos;2018-04-24 11:49:00;1900-01-01 11:49:00;Tuesday;False;False;False;False;False;True;11:30:00
406;2018-04-17;#LíneaA - Reanuda su servicio y realiza el recorrido completo entre cabeceras. 07:32;2018-04-17 10:33:33;1900-01-01 10:33:33;Tuesday;False;False;False;False;False;True;10:30:00
407;2018-04-17;#LíneaA - Servicio interrumpido por medida de fuerza gremial. 05:24;2018-04-17 08:25:30;1900-01-01 08:25:30;Tuesday;False;True;False;True;False;True;08:15:00
